"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Bethune Cookman",67.2119,234,66.3063,255,92.1625,341,93.518,336,104.308,245,109.939,296,-16.4208,333
"2022","Binghamton",67.5513,210,67.6214,183,97.7407,267,95.4257,316,102.858,211,106.235,237,-10.8093,291
"2022","Boise St.",64.8658,331,65.1682,310,104.172,135,108.83,82,92.8769,20,92.5961,17,16.2342,28
"2022","Boston College",65.6472,304,65.7297,280,100.412,209,104.017,164,103.109,215,102.292,150,1.72535,145
"2022","Boston University",65.3724,319,65.7929,276,107.094,66,105.414,137,101.632,175,108.716,278,-3.30158,216
"2022","Bowling Green",73.6989,7,73.2905,4,104.928,121,103.653,172,110.987,336,113.473,343,-9.81974,281
"2022","Bradley",67.671,202,67.7682,172,103.066,158,105.261,140,95.8266,41,96.9617,59,8.29974,96
"2022","Brown",69.1139,116,67.8316,165,100.073,217,100.531,234,102.166,196,103.808,183,-3.2767,215
"2022","Bryant",72.4419,21,73.1118,6,105.189,116,104.533,152,101.794,184,106.932,249,-2.39953,201
"2022","Bucknell",68.2197,171,68.1609,140,101.767,183,100.465,235,113.829,353,117.735,356,-17.27,339
"2022","Buffalo",72.2755,25,71.4638,23,109.071,39,108.024,90,101.9,188,104.081,189,3.94237,122
"2022","Butler",64.7957,333,64.0078,338,95.3825,303,102.236,196,103.443,223,99.4251,100,2.81044,133
"2022","BYU",69.258,107,68.3685,122,105.277,113,110.535,56,97.8053,78,96.913,58,13.6216,50
"2022","Cal Baptist",68.9347,126,68.1393,142,101.005,196,101.156,224,99.4414,115,103.632,177,-2.4765,203
"2022","Cal Poly",64.9448,327,65.0675,315,92.5257,339,94.2047,332,103.539,225,106.163,234,-11.9585,301
"2022","Cal St. Bakersfield",64.6293,336,65.0026,318,96.2441,293,99.1172,259,105.198,255,108.316,276,-9.1992,275
"2022","Cal St. Fullerton",66.8183,254,67.0274,213,103.544,148,104.645,148,100.388,145,104.29,193,0.354833,168
"2022","Cal St. Northridge",65.4952,310,65.7307,279,92.0688,342,95.4186,317,108.252,308,110.605,305,-15.1868,330
"2022","California",64.8522,332,64.3933,334,96.6625,282,101.415,216,100.871,154,98.8267,86,2.58832,136
"2022","Campbell",63.1272,349,62.9642,346,101.467,187,101.096,225,99.951,131,104.911,206,-3.81512,219
"2022","Canisius",69.291,103,68.5327,118,97.121,277,98.4243,272,103.892,235,106.133,233,-7.70913,260
"2022","Central Arkansas",72.7998,18,72.4425,13,97.0158,279,99.4288,256,113.628,351,113.413,342,-13.9841,318
